state,county,level,eevp,votes_harris_k_total,votes_harris_k_advance,votes_harris_k_provisional,votes_harris_k_absentee_mail,votes_harris_k_absentee_in_person,votes_harris_k_election_day_in_person,votes_trump_d_total,votes_trump_d_advance,votes_trump_d_provisional,votes_trump_d_absentee_mail,votes_trump_d_absentee_in_person,votes_trump_d_election_day_in_person,total_votes_2024,pct_dem_2024,pct_rep_2024,total_votes_2020,pct_dem_2020,pct_rep_2020
California,Orange,county,80,583791,NA,NA,NA,NA,NA,572379,NA,NA,NA,NA,NA,1190978,49.017782024521026,48.05957792671233,1521725,53.493,44.456
California,Riverside,county,70,349595,NA,NA,NA,NA,NA,355390,NA,NA,NA,NA,NA,722120,48.41231374286822,49.214811942613416,997007,52.993,45.049
California,Santa Clara,county,78.63,422828,NA,NA,NA,NA,NA,176921,NA,NA,NA,NA,NA,621507,68.03270116024437,28.466453314282862,850522,72.657,25.233
California,San Bernardino,county,65,225765,NA,NA,NA,NA,NA,244653,NA,NA,NA,NA,NA,481976,46.841543977293476,50.76041130678706,840931,54.209,43.554
California,Contra Costa,county,81,299555,NA,NA,NA,NA,NA,129714,NA,NA,NA,NA,NA,442724,67.66179380381456,29.29906668714594,581230,71.639,26.302
California,Sacramento,county,58,234217,NA,NA,NA,NA,NA,160005,NA,NA,NA,NA,NA,405681,57.73427890386782,39.44108794841267,718290,61.369,36.114
California,San Francisco,county,78.72,288354,NA,NA,NA,NA,NA,54547,NA,NA,NA,NA,NA,357045,80.76124858211149,15.277345992802028,443458,85.274,12.722
California,Alameda,county,40,238656,NA,NA,NA,NA,NA,78317,NA,NA,NA,NA,NA,328129,72.73237050062627,23.867747136034914,769864,80.23,17.706
California,Ventura,county,69,151463,NA,NA,NA,NA,NA,116825,NA,NA,NA,NA,NA,274565,55.164715094786295,42.54912315845064,422698,59.472,38.374
California,Kern,county,75.67,90319,NA,NA,NA,NA,NA,138357,NA,NA,NA,NA,NA,234326,38.544164966755716,59.04466427114362,305226,43.694,53.889
California,San Mateo,county,63,166251,NA,NA,NA,NA,NA,55665,NA,NA,NA,NA,NA,228111,72.88162342017702,24.40259347422965,374171,77.904,20.2
California,Fresno,county,64,98027,NA,NA,NA,NA,NA,116644,NA,NA,NA,NA,NA,219307,44.698527634776816,53.18754075337313,364809,52.911,45.082
California,Solano,county,87,108422,NA,NA,NA,NA,NA,66447,NA,NA,NA,NA,NA,180016,60.22909074748911,36.911718958314815,205831,63.955,33.671
California,Placer,county,70,79573,NA,NA,NA,NA,NA,95137,NA,NA,NA,NA,NA,179101,44.42912099876606,53.11918973093394,235017,45.473,52.119
California,San Joaquin,county,63,82829,NA,NA,NA,NA,NA,85302,NA,NA,NA,NA,NA,172807,47.93150740421395,49.362583691632864,288443,55.864,41.983
California,Sonoma,county,59,122977,NA,NA,NA,NA,NA,42550,NA,NA,NA,NA,NA,170047,72.3194175727887,25.0224937811311,268252,74.534,23.047
California,Santa Barbara,county,63,83248,NA,NA,NA,NA,NA,47071,NA,NA,NA,NA,NA,133824,62.207077953132476,35.17381037780966,200288,64.888,32.821
California,Stanislaus,county,58,53300,NA,NA,NA,NA,NA,68939,NA,NA,NA,NA,NA,124934,42.6625258136296,55.18033521699457,214876,49.257,48.467
California,El Dorado,county,93,46406,NA,NA,NA,NA,NA,59411,NA,NA,NA,NA,NA,108793,42.655317897291184,54.609211989741986,116138,44.448,53.245
California,Santa Cruz,county,62.49,79141,NA,NA,NA,NA,NA,22404,NA,NA,NA,NA,NA,105071,75.32144930570757,21.322724633819035,144796,78.901,18.603
California,Monterey,county,69,67523,NA,NA,NA,NA,NA,34054,NA,NA,NA,NA,NA,104338,64.71563572236386,32.63815675976154,163883,69.533,28.251
California,Tulare,county,72,39146,NA,NA,NA,NA,NA,61860,NA,NA,NA,NA,NA,103144,37.95276506631505,59.97440471573722,146832,45.021,52.835
California,San Luis Obispo,county,60,54079,NA,NA,NA,NA,NA,40772,NA,NA,NA,NA,NA,97113,55.68667428665575,41.984080401182126,159681,55.304,42.232
